#model:pConst	end_point_b=1.00
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.100129	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.635083	1.636791	1.690967	0.820329	0.547250	0.152131	-0.052809	-0.036168	-0.018370
0.100257	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.699371	1.702782	1.810724	0.815098	0.543668	0.149619	-0.105383	-0.072176	-0.036603
0.100386	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.763666	1.768764	1.929675	0.806407	0.537715	0.145450	-0.157489	-0.107863	-0.054562
0.100514	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.827969	1.834734	2.047455	0.794295	0.529420	0.139650	-0.208896	-0.143072	-0.072111
0.100643	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.892282	1.900688	2.163745	0.778818	0.518820	0.132256	-0.259377	-0.177646	-0.089119
0.100771	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.956610	1.966623	2.278280	0.760045	0.505964	0.123316	-0.308707	-0.211433	-0.105455
0.100900	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.020954	2.032533	2.390850	0.738064	0.490909	0.112887	-0.356669	-0.244283	-0.120995
0.101029	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.085317	2.098416	2.501302	0.712973	0.473725	0.101034	-0.403050	-0.276051	-0.135617
0.101157	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.149702	2.164268	2.609537	0.684888	0.454490	0.087834	-0.447646	-0.306597	-0.149205
0.101286	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.214111	2.230086	2.715503	0.653937	0.433292	0.073373	-0.490262	-0.335787	-0.161651
0.101414	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.278546	2.295867	2.819192	0.620260	0.410226	0.057742	-0.530710	-0.363493	-0.172851
0.101543	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.343011	2.361607	2.920626	0.584011	0.385399	0.041043	-0.568813	-0.389594	-0.182709
0.101671	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.407508	2.427304	3.019859	0.545355	0.358922	0.023384	-0.604405	-0.413976	-0.191139
0.101800	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.472038	2.492955	3.116961	0.504467	0.330917	0.004880	-0.637333	-0.436533	-0.198061
0.101929	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.536605	2.558559	-3.071166	0.461534	0.301510	-0.014349	-0.667454	-0.457170	-0.203404
0.102057	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.601211	2.624112	-2.978056	0.416749	0.270834	-0.034175	-0.694641	-0.475796	-0.207107
0.102186	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.665856	2.689613	-2.886793	0.370316	0.239028	-0.054468	-0.718777	-0.492335	-0.209121
0.102314	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.730545	2.755060	-2.797273	0.322445	0.206237	-0.075093	-0.739761	-0.506715	-0.209402
