#model:pLinear_down	end_point_b=1.00
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.100300	-152.195456	-151.780364	303.975819	0.415092	456.171275	1.707276	1.707280	1.707406	0.814430	0.543346	0.151547	-0.111849	-0.074622	-0.020833
0.100600	-152.150455	-151.735364	303.885819	0.415092	456.036274	1.843715	1.843723	1.843973	0.791648	0.528146	0.147303	-0.221585	-0.147834	-0.041272
0.100900	-152.105455	-151.690364	303.795819	0.415091	455.901274	1.980114	1.980126	1.980495	0.754163	0.503137	0.140322	-0.327172	-0.218278	-0.060938
0.101200	-152.060455	-151.645364	303.705818	0.415091	455.766273	2.116473	2.116488	2.116970	0.702687	0.468794	0.130734	-0.426652	-0.284649	-0.079467
0.101500	-152.015455	-151.600364	303.615818	0.415091	455.631273	2.252792	2.252810	2.253395	0.638186	0.425761	0.118720	-0.518186	-0.345717	-0.096516
0.101800	-151.970454	-151.555364	303.525818	0.415091	455.496272	2.389070	2.389091	2.389769	0.561868	0.374844	0.104505	-0.600082	-0.400355	-0.111769
0.102100	-151.925454	-151.510364	303.435818	0.415090	455.361272	2.525308	2.525332	2.526090	0.475159	0.316995	0.088355	-0.670830	-0.447556	-0.124947
0.102400	-151.880454	-151.465364	303.345817	0.415090	455.226271	2.661507	2.661533	2.662356	0.379673	0.253290	0.070570	-0.729131	-0.486453	-0.135806
0.102700	-151.835454	-151.420364	303.255817	0.415090	455.091271	2.797665	2.797693	2.798567	0.277188	0.184915	0.051481	-0.773916	-0.516332	-0.144147
0.103000	-151.790453	-151.375364	303.165817	0.415090	454.956270	2.933783	2.933812	2.934721	0.169604	0.113138	0.031443	-0.804368	-0.536649	-0.149819
0.103300	-151.745453	-151.330364	303.075817	0.415089	454.821270	3.069862	3.069891	3.070818	0.058916	0.039291	0.010827	-0.819937	-0.547036	-0.152719
0.103600	-151.700453	-151.285364	302.985816	0.415089	454.686269	-3.077285	-3.077256	-3.076328	-0.052827	-0.035261	-0.009986	-0.820348	-0.547310	-0.152795
0.103900	-151.655453	-151.240364	302.895816	0.415089	454.551269	-2.941287	-2.941258	-2.940347	-0.163562	-0.109139	-0.030611	-0.805608	-0.537476	-0.150050
0.104200	-151.610452	-151.195364	302.805816	0.415089	454.416268	-2.805328	-2.805300	-2.804422	-0.271243	-0.180981	-0.050668	-0.776001	-0.517723	-0.144535
0.104500	-151.565452	-151.150364	302.715816	0.415088	454.281268	-2.669409	-2.669383	-2.668554	-0.373889	-0.249463	-0.069786	-0.732088	-0.488425	-0.136356
0.104800	-151.520452	-151.105364	302.625816	0.415088	454.146267	-2.533531	-2.533507	-2.532742	-0.469610	-0.313325	-0.087615	-0.674690	-0.450132	-0.125665
0.105100	-151.475452	-151.060364	302.535815	0.415088	454.011267	-2.397692	-2.397670	-2.396984	-0.556650	-0.371395	-0.103827	-0.604878	-0.403555	-0.112662
0.105400	-151.430451	-151.015364	302.445815	0.415088	453.876266	-2.261893	-2.261875	-2.261279	-0.633412	-0.422608	-0.118125	-0.523948	-0.349561	-0.097588
0.105700	-151.385451	-150.970364	302.355815	0.415088	453.741266	-2.126135	-2.126119	-2.125625	-0.698495	-0.466029	-0.130247	-0.433398	-0.289149	-0.080723
0.106000	-151.340451	-150.925364	302.265815	0.415087	453.606265	-1.990417	-1.990405	-1.990021	-0.750710	-0.500865	-0.139972	-0.334905	-0.223438	-0.062378
0.106300	-151.295451	-150.880364	302.175814	0.415087	453.471265	-1.854739	-1.854730	-1.854464	-0.789109	-0.526484	-0.147124	-0.230284	-0.153638	-0.042891
0.106600	-151.250450	-150.835364	302.085814	0.415087	453.336264	-1.719101	-1.719097	-1.718953	-0.813000	-0.542424	-0.151574	-0.121464	-0.081037	-0.022623
0.106900	-151.205450	-150.790364	301.995814	0.415087	453.201264	-1.583504	-1.583503	-1.583485	-0.821957	-0.548399	-0.153243	-0.010446	-0.006969	-0.001945
0.107200	-151.160450	-150.745364	301.905814	0.415086	453.066263	-1.447947	-1.447951	-1.448057	-0.815828	-0.544311	-0.152101	0.100731	0.067205	0.018763
0.107500	-151.115450	-150.700364	301.815813	0.415086	452.931263	-1.312431	-1.312438	-1.312668	-0.794740	-0.530241	-0.148173	0.210028	0.140124	0.039120
0.107800	-151.070449	-150.655364	301.725813	0.415086	452.796262	-1.176956	-1.176967	-1.177315	-0.759093	-0.506458	-0.141534	0.315442	0.210453	0.058755
0.108100	-151.025449	-150.610364	301.635813	0.415086	452.661262	-1.041521	-1.041535	-1.041996	-0.709551	-0.473406	-0.132306	0.415048	0.276907	0.077307
0.108400	-150.980449	-150.565364	301.545813	0.415085	452.526262	-0.906127	-0.906145	-0.906710	-0.647036	-0.431697	-0.120662	0.507027	0.338272	0.094439
0.108700	-150.935449	-150.520364	301.455812	0.415085	452.391261	-0.770774	-0.770794	-0.771453	-0.572701	-0.382104	-0.106817	0.589702	0.393430	0.109838
0.109000	-150.890448	-150.475364	301.365812	0.415085	452.256261	-0.635461	-0.635485	-0.636225	-0.487917	-0.325539	-0.091025	0.661571	0.441379	0.123224
0.109300	-150.845448	-150.430364	301.275812	0.415085	452.121260	-0.500190	-0.500216	-0.501024	-0.394242	-0.263042	-0.073577	0.721330	0.481248	0.134355
0.109600	-150.800448	-150.385364	301.185812	0.415084	451.986260	-0.364960	-0.364987	-0.365849	-0.293396	-0.195760	-0.054794	0.767899	0.512317	0.143029
0.109900	-150.755448	-150.340364	301.095811	0.415084	451.851259	-0.229770	-0.229799	-0.230698	-0.187224	-0.124926	-0.035018	0.800439	0.534027	0.149090
0.110200	-150.710447	-150.295364	301.005811	0.415084	451.716259	-0.094622	-0.094651	-0.095572	-0.077668	-0.051833	-0.014612	0.818369	0.545990	0.152429
0.110500	-150.665447	-150.250364	300.915811	0.415084	451.581258	0.040485	0.040456	0.039531	0.033272	0.022182	0.006051	0.821376	0.547996	0.152989
0.110800	-150.620447	-150.205364	300.825811	0.415083	451.446258	0.175551	0.175522	0.174610	0.143572	0.095771	0.026595	0.809419	0.540018	0.150762
0.111100	-150.575447	-150.160364	300.735810	0.415083	451.311257	0.310576	0.310548	0.309665	0.251226	0.167594	0.046647	0.782728	0.522211	0.145791
0.111400	-150.530446	-150.115364	300.645810	0.415083	451.176257	0.445560	0.445534	0.444696	0.354278	0.236347	0.065841	0.741802	0.494906	0.138168
0.111700	-150.485446	-150.070364	300.555810	0.415083	451.041256	0.580503	0.580479	0.579701	0.450856	0.300781	0.083830	0.687398	0.458610	0.128035
0.112000	-150.440446	-150.025364	300.465810	0.415082	450.906256	0.715405	0.715383	0.714680	0.539212	0.359729	0.100287	0.620518	0.413990	0.115578
0.112300	-150.395446	-149.980364	300.375809	0.415082	450.771255	0.850266	0.850247	0.849631	0.617748	0.412126	0.114915	0.542387	0.361863	0.101025
0.112600	-150.350445	-149.935364	300.285809	0.415082	450.636255	0.985086	0.985070	0.984553	0.685047	0.457026	0.127450	0.454433	0.303183	0.084643
0.112900	-150.305445	-149.890364	300.195809	0.415082	450.501254	1.119866	1.119853	1.119444	0.739899	0.493621	0.137667	0.358262	0.239021	0.066730
0.113200	-150.260445	-149.845364	300.105809	0.415081	450.366254	1.254604	1.254595	1.254302	0.781320	0.521256	0.145382	0.255623	0.170544	0.047613
0.113500	-150.215445	-149.800364	300.015808	0.415081	450.231253	1.389302	1.389297	1.389124	0.808572	0.539437	0.150458	0.148384	0.098997	0.027639
0.113800	-150.170444	-149.755364	299.925808	0.415081	450.096253	1.523959	1.523958	1.523909	0.821173	0.547844	0.152805	0.038489	0.025679	0.007170
0.114100	-150.125444	-149.710364	299.835808	0.415081	449.961252	1.658576	1.658579	1.658655	0.818909	0.546334	0.152383	-0.072069	-0.048082	-0.013423
0.114400	-150.080444	-149.665364	299.745808	0.415080	449.826252	1.793153	1.793159	1.793358	0.801835	0.534943	0.149203	-0.181291	-0.120951	-0.033766
0.114700	-150.035444	-149.620364	299.655807	0.415080	449.691251	1.927689	1.927699	1.928018	0.770272	0.513885	0.143324	-0.287203	-0.191612	-0.053493
0.115000	-149.990443	-149.575364	299.565807	0.415080	449.556251	2.062184	2.062198	2.062631	0.724803	0.483549	0.134855	-0.387895	-0.258791	-0.072248
0.115300	-149.945443	-149.530364	299.475807	0.415080	449.421250	2.196640	2.196657	2.197196	0.666262	0.444493	0.123951	-0.481553	-0.321277	-0.089693
0.115600	-149.900443	-149.485364	299.385807	0.415079	449.286250	2.331055	2.331075	2.331711	0.595718	0.397428	0.110811	-0.566494	-0.377947	-0.105514
0.115900	-149.855443	-149.440364	299.295806	0.415079	449.151249	2.465430	2.465453	2.466173	0.514452	0.343210	0.095675	-0.641194	-0.427784	-0.119428
0.116200	-149.810442	-149.395364	299.205806	0.415079	449.016249	2.599765	2.599790	2.600583	0.423940	0.282823	0.078816	-0.704316	-0.469897	-0.131185
0.116500	-149.765442	-149.350364	299.115806	0.415079	448.881248	2.734060	2.734087	2.734937	0.325819	0.217360	0.060540	-0.754734	-0.503534	-0.140575
0.116800	-149.720442	-149.305364	299.025806	0.415078	448.746248	2.868315	2.868344	2.869236	0.221863	0.148004	0.041177	-0.791551	-0.528097	-0.147433
0.117100	-149.675442	-149.260364	298.935805	0.415078	448.611247	3.002531	3.002560	3.003479	0.113948	0.076007	0.021077	-0.814117	-0.543153	-0.151636
0.117400	-149.630441	-149.215364	298.845805	0.415078	448.476247	3.136706	3.136735	3.137664	0.004017	0.002664	0.000601	-0.822039	-0.548438	-0.153112
0.117700	-149.585441	-149.170364	298.755805	0.415078	448.341246	-3.012344	-3.012315	-3.011393	-0.105952	-0.070704	-0.019881	-0.815189	-0.543868	-0.151836
0.118000	-149.540441	-149.125364	298.665805	0.415077	448.206246	-2.878249	-2.878221	-2.877321	-0.213986	-0.142781	-0.040004	-0.793702	-0.529533	-0.147834
0.118300	-149.495441	-149.080364	298.575804	0.415077	448.071245	-2.744194	-2.744167	-2.743306	-0.318147	-0.212273	-0.059405	-0.757978	-0.505699	-0.141179
0.118600	-149.450440	-149.035364	298.485804	0.415077	447.936245	-2.610178	-2.610153	-2.609347	-0.416569	-0.277938	-0.077737	-0.708670	-0.472802	-0.131995
0.118900	-149.405440	-148.990364	298.395804	0.415077	447.801244	-2.476203	-2.476180	-2.475443	-0.507495	-0.338601	-0.094673	-0.646674	-0.431440	-0.120448
0.119200	-149.360440	-148.945364	298.305804	0.415076	447.666244	-2.342268	-2.342247	-2.341592	-0.589302	-0.393179	-0.109910	-0.573112	-0.382362	-0.106746
0.119500	-149.315440	-148.900364	298.215803	0.415076	447.531243	-2.208373	-2.208355	-2.207794	-0.660533	-0.440703	-0.123178	-0.489312	-0.326453	-0.091138
0.119800	-149.270439	-148.855364	298.125803	0.415076	447.396243	-2.074518	-2.074503	-2.074045	-0.719924	-0.480327	-0.134240	-0.396782	-0.264720	-0.073903
0.120100	-149.225439	-148.810364	298.035803	0.415076	447.261242	-1.940703	-1.940692	-1.940346	-0.766424	-0.511350	-0.142901	-0.297185	-0.198272	-0.055352
0.120400	-149.180439	-148.765364	297.945803	0.415075	447.126242	-1.806928	-1.806921	-1.806693	-0.799213	-0.533225	-0.149008	-0.192307	-0.128301	-0.035817
0.120700	-149.135439	-148.720364	297.855802	0.415075	446.991241	-1.673194	-1.673191	-1.673084	-0.817717	-0.545571	-0.152455	-0.084026	-0.056060	-0.015649
0.121000	-149.090438	-148.675364	297.765802	0.415075	446.856241	-1.539501	-1.539501	-1.539518	-0.821621	-0.548175	-0.153182	0.025722	0.017161	0.004793
0.121300	-149.045438	-148.630364	297.675802	0.415075	446.721240	-1.405847	-1.405852	-1.405992	-0.810866	-0.541000	-0.151179	0.134978	0.090053	0.025143
0.121600	-149.000438	-148.585364	297.585802	0.415074	446.586240	-1.272235	-1.272243	-1.272503	-0.785658	-0.524182	-0.146484	0.241795	0.161318	0.045039
0.121900	-148.955438	-148.540364	297.495801	0.415074	446.451239	-1.138663	-1.138675	-1.139051	-0.746460	-0.498030	-0.139182	0.344272	0.229687	0.064126
0.122200	-148.910437	-148.495364	297.405801	0.415074	446.316239	-1.005132	-1.005147	-1.005632	-0.693982	-0.463019	-0.129408	0.440587	0.293946	0.082066
0.122500	-148.865437	-148.450364	297.315801	0.415074	446.181238	-0.871641	-0.871660	-0.872246	-0.629170	-0.419778	-0.117336	0.529034	0.352955	0.098540
0.122800	-148.820437	-148.405364	297.225801	0.415073	446.046238	-0.738192	-0.738213	-0.738889	-0.553187	-0.369085	-0.103183	0.608045	0.405669	0.113257
0.123100	-148.775437	-148.360364	297.135800	0.415073	445.911237	-0.604783	-0.604807	-0.605561	-0.467395	-0.311847	-0.087204	0.676226	0.451156	0.125956
0.123400	-148.730436	-148.315364	297.045800	0.415073	445.776237	-0.471416	-0.471442	-0.472260	-0.373326	-0.249087	-0.069682	0.732374	0.488617	0.136415
0.123700	-148.685436	-148.270364	296.955800	0.415073	445.641236	-0.338089	-0.338116	-0.338985	-0.272658	-0.181925	-0.050932	0.775504	0.517392	0.144448
0.124000	-148.640436	-148.225364	296.865800	0.415072	445.506235	-0.204803	-0.204832	-0.205735	-0.167183	-0.111555	-0.031286	0.804863	0.536979	0.149917
0.124300	-148.595436	-148.180364	296.775799	0.415072	445.371235	-0.071559	-0.071588	-0.072509	-0.058774	-0.039228	-0.011093	0.819943	0.547040	0.152725
0.124600	-148.550435	-148.135364	296.685799	0.415072	445.236234	0.061645	0.061616	0.060692	0.050643	0.033772	0.009287	0.820489	0.547404	0.152827
0.124900	-148.505435	-148.090364	296.595799	0.415072	445.101234	0.194807	0.194779	0.193869	0.159131	0.106151	0.029494	0.806504	0.538074	0.150222
0.125200	-148.460435	-148.045364	296.505799	0.415071	444.966233	0.327929	0.327901	0.327022	0.264770	0.176630	0.049170	0.778250	0.519224	0.144960
0.125500	-148.415435	-148.000364	296.415798	0.415071	444.831233	0.461009	0.460983	0.460149	0.365695	0.243964	0.067969	0.736240	0.491196	0.137135
0.125800	-148.370434	-147.955364	296.325798	0.415071	444.696232	0.594049	0.594025	0.593251	0.460126	0.306965	0.085558	0.681228	0.454494	0.126888
0.126100	-148.325434	-147.910364	296.235798	0.415071	444.561232	0.727047	0.727026	0.726326	0.546399	0.364524	0.101627	0.614198	0.409773	0.114403
0.126400	-148.280434	-147.865364	296.145798	0.415070	444.426231	0.860005	0.859986	0.859373	0.623001	0.415630	0.115895	0.536345	0.357832	0.099902
0.126700	-148.235434	-147.820364	296.055797	0.415070	444.291231	0.992922	0.992906	0.992390	0.688587	0.459387	0.128111	0.449052	0.299593	0.083643
0.127000	-148.190433	-147.775364	295.965797	0.415070	444.156230	1.125798	1.125785	1.125376	0.742011	0.495030	0.138062	0.353866	0.236088	0.065913
0.127300	-148.145433	-147.730364	295.875797	0.415069	444.021230	1.258633	1.258624	1.258329	0.782343	0.521939	0.145574	0.252474	0.168442	0.047028
0.127600	-148.100433	-147.685364	295.785797	0.415069	443.886229	1.391427	1.391422	1.391246	0.808885	0.539646	0.150518	0.146665	0.097850	0.027320
0.127900	-148.055433	-147.640364	295.695796	0.415069	443.751229	1.524181	1.524180	1.524125	0.821181	0.547850	0.152808	0.038307	0.025557	0.007137
