#model:pLinear_up	end_point_b=0.20
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.100018	-1686.848217	-1575.079611	3261.927828	111.768605	4948.776045	1.572524	1.574941	1.651648	0.822072	0.548441	0.152481	-0.001420	-0.002273	-0.012355
0.100036	-1686.855072	-1575.085109	3261.940181	111.769963	4948.795252	1.574252	1.579087	1.732518	0.822062	0.548426	0.151017	-0.002840	-0.004547	-0.024638
0.100055	-1686.861927	-1575.090607	3261.952533	111.771320	4948.814460	1.575978	1.583231	1.813339	0.822047	0.548403	0.148584	-0.004260	-0.006820	-0.036762
0.100073	-1686.868782	-1575.096104	3261.964886	111.772678	4948.833668	1.577705	1.587375	1.894128	0.822026	0.548369	0.145199	-0.005679	-0.009092	-0.048655
0.100091	-1686.875637	-1575.101601	3261.977238	111.774036	4948.852876	1.579430	1.591518	1.974876	0.821999	0.548326	0.140883	-0.007097	-0.011364	-0.060243
0.100109	-1686.882493	-1575.107098	3261.989591	111.775395	4948.872084	1.581155	1.595660	2.055573	0.821965	0.548274	0.135664	-0.008514	-0.013635	-0.071454
0.100127	-1686.889349	-1575.112594	3262.001943	111.776754	4948.891292	1.582878	1.599801	2.136210	0.821926	0.548212	0.129573	-0.009930	-0.015905	-0.082217
0.100145	-1686.896205	-1575.118091	3262.014295	111.778114	4948.910500	1.584599	1.603941	2.216776	0.821882	0.548141	0.122651	-0.011345	-0.018174	-0.092464
0.100164	-1686.903061	-1575.123587	3262.026648	111.779474	4948.929708	1.586319	1.608078	2.297265	0.821831	0.548061	0.114938	-0.012758	-0.020442	-0.102132
0.100182	-1686.909917	-1575.129083	3262.039000	111.780834	4948.948917	1.588037	1.612214	2.377667	0.821776	0.547972	0.106485	-0.014169	-0.022709	-0.111159
0.100200	-1686.916774	-1575.134579	3262.051352	111.782195	4948.968126	1.589753	1.616348	2.457977	0.821715	0.547873	0.097344	-0.015579	-0.024974	-0.119490
0.100218	-1686.923630	-1575.140074	3262.063704	111.783556	4948.987335	1.591466	1.620479	2.538186	0.821648	0.547766	0.087572	-0.016986	-0.027237	-0.127072
0.100236	-1686.930487	-1575.145569	3262.076057	111.784918	4949.006544	1.593178	1.624608	2.618288	0.821577	0.547650	0.077230	-0.018391	-0.029498	-0.133857
0.100255	-1686.937344	-1575.151065	3262.088409	111.786280	4949.025753	1.594886	1.628734	2.698280	0.821501	0.547525	0.066383	-0.019794	-0.031758	-0.139803
0.100273	-1686.944201	-1575.156559	3262.100761	111.787642	4949.044962	1.596592	1.632858	2.778156	0.821421	0.547392	0.055099	-0.021194	-0.034016	-0.144872
0.100291	-1686.951059	-1575.162054	3262.113113	111.789005	4949.064171	1.598295	1.636979	2.857912	0.821336	0.547250	0.043450	-0.022591	-0.036271	-0.149033
0.100309	-1686.957916	-1575.167548	3262.125465	111.790368	4949.083381	1.599995	1.641097	2.937546	0.821247	0.547100	0.031507	-0.023986	-0.038525	-0.152260
0.100327	-1686.964774	-1575.173043	3262.137817	111.791731	4949.102591	1.601693	1.645212	3.017054	0.821153	0.546942	0.019345	-0.025379	-0.040776	-0.154532
0.100345	-1686.971632	-1575.178537	3262.150169	111.793095	4949.121800	1.603387	1.649323	3.096437	0.821056	0.546776	0.007042	-0.026768	-0.043025	-0.155835
0.100364	-1686.978490	-1575.184030	3262.162520	111.794460	4949.141010	1.605078	1.653432	-3.107493	0.820956	0.546602	-0.005327	-0.028155	-0.045272	-0.156161
0.100382	-1686.985348	-1575.189524	3262.174872	111.795825	4949.160221	1.606766	1.657537	-3.028365	0.820852	0.546421	-0.017684	-0.029538	-0.047516	-0.155508
0.100400	-1686.992207	-1575.195017	3262.187224	111.797190	4949.179431	1.608451	1.661640	-2.949362	0.820745	0.546232	-0.029950	-0.030919	-0.049759	-0.153880
0.100418	-1686.999065	-1575.200510	3262.199576	111.798555	4949.198641	1.610133	1.665739	-2.870484	0.820635	0.546036	-0.042050	-0.032298	-0.051998	-0.151286
0.100436	-1687.005924	-1575.206003	3262.211927	111.799921	4949.217852	1.611812	1.669835	-2.791728	0.820523	0.545832	-0.053908	-0.033673	-0.054236	-0.147744
0.100455	-1687.012783	-1575.211496	3262.224279	111.801288	4949.237062	1.613488	1.673927	-2.713091	0.820408	0.545622	-0.065449	-0.035046	-0.056471	-0.143275
0.100473	-1687.019642	-1575.216988	3262.236631	111.802654	4949.256273	1.615161	1.678017	-2.634570	0.820290	0.545404	-0.076601	-0.036416	-0.058704	-0.137907
0.100491	-1687.026502	-1575.222480	3262.248982	111.804022	4949.275484	1.616831	1.682104	-2.556160	0.820171	0.545180	-0.087295	-0.037783	-0.060934	-0.131674
0.100509	-1687.033361	-1575.227972	3262.261334	111.805389	4949.294695	1.618499	1.686187	-2.477857	0.820049	0.544949	-0.097462	-0.039148	-0.063163	-0.124615
0.100527	-1687.040221	-1575.233464	3262.273685	111.806757	4949.313906	1.620164	1.690268	-2.399655	0.819926	0.544711	-0.107040	-0.040511	-0.065389	-0.116773
0.100545	-1687.047081	-1575.238955	3262.286036	111.808126	4949.333117	1.621826	1.694346	-2.321548	0.819802	0.544467	-0.115969	-0.041871	-0.067613	-0.108199
0.100564	-1687.053941	-1575.244447	3262.298388	111.809494	4949.352329	1.623487	1.698421	-2.243531	0.819676	0.544217	-0.124192	-0.043229	-0.069835	-0.098945
0.100582	-1687.060801	-1575.249938	3262.310739	111.810863	4949.371541	1.625145	1.702494	-2.165596	0.819548	0.543961	-0.131658	-0.044585	-0.072056	-0.089070
0.100600	-1687.067662	-1575.255429	3262.323090	111.812233	4949.390752	1.626802	1.706565	-2.087736	0.819420	0.543698	-0.138320	-0.045940	-0.074274	-0.078636
0.100618	-1687.074522	-1575.260919	3262.335442	111.813603	4949.409964	1.628457	1.710633	-2.009944	0.819291	0.543430	-0.144137	-0.047293	-0.076491	-0.067707
0.100636	-1687.081383	-1575.266410	3262.347793	111.814973	4949.429176	1.630110	1.714700	-1.932211	0.819160	0.543155	-0.149072	-0.048644	-0.078706	-0.056352
0.100655	-1687.088244	-1575.271900	3262.360144	111.816344	4949.448388	1.631762	1.718765	-1.854531	0.819029	0.542875	-0.153094	-0.049995	-0.080920	-0.044643
0.100673	-1687.095105	-1575.277390	3262.372495	111.817715	4949.467601	1.633413	1.722828	-1.776894	0.818897	0.542588	-0.156179	-0.051344	-0.083132	-0.032652
0.100691	-1687.101967	-1575.282880	3262.384846	111.819087	4949.486813	1.635064	1.726889	-1.699291	0.818765	0.542296	-0.158305	-0.052692	-0.085343	-0.020454
0.100709	-1687.108828	-1575.288369	3262.397197	111.820459	4949.506025	1.636714	1.730950	-1.621715	0.818632	0.541998	-0.159462	-0.054040	-0.087553	-0.008127
0.100727	-1687.115690	-1575.293859	3262.409548	111.821831	4949.525238	1.638363	1.735009	-1.544156	0.818498	0.541695	-0.159640	-0.055388	-0.089762	0.004254
0.100745	-1687.122552	-1575.299348	3262.421899	111.823204	4949.544451	1.640013	1.739068	-1.466606	0.818363	0.541386	-0.158839	-0.056735	-0.091970	0.016610
0.100764	-1687.129414	-1575.304836	3262.434250	111.824577	4949.563664	1.641662	1.743127	-1.389055	0.818228	0.541070	-0.157064	-0.058082	-0.094177	0.028864
0.100782	-1687.136276	-1575.310325	3262.446601	111.825951	4949.582877	1.643313	1.747185	-1.311495	0.818093	0.540750	-0.154326	-0.059429	-0.096384	0.040939
0.100800	-1687.143138	-1575.315814	3262.458952	111.827325	4949.602090	1.644964	1.751243	-1.233916	0.817956	0.540423	-0.150643	-0.060777	-0.098590	0.052760
0.100818	-1687.150001	-1575.321302	3262.471303	111.828699	4949.621304	1.646615	1.755301	-1.156310	0.817819	0.540090	-0.146036	-0.062125	-0.100795	0.064252
0.100836	-1687.156864	-1575.326790	3262.483653	111.830074	4949.640517	1.648269	1.759359	-1.078669	0.817681	0.539752	-0.140536	-0.063475	-0.103001	0.075345
0.100855	-1687.163727	-1575.332277	3262.496004	111.831449	4949.659731	1.649923	1.763418	-1.000983	0.817542	0.539407	-0.134177	-0.064825	-0.105206	0.085968
0.100873	-1687.170590	-1575.337765	3262.508355	111.832825	4949.678945	1.651579	1.767478	-0.923245	0.817402	0.539057	-0.126998	-0.066176	-0.107411	0.096054
0.100891	-1687.177453	-1575.343252	3262.520705	111.834201	4949.698159	1.653237	1.771539	-0.845446	0.817261	0.538700	-0.119044	-0.067529	-0.109616	0.105542
0.100909	-1687.184317	-1575.348739	3262.533056	111.835577	4949.717373	1.654897	1.775601	-0.767578	0.817118	0.538338	-0.110366	-0.068883	-0.111822	0.114371
0.100927	-1687.191180	-1575.354226	3262.545407	111.836954	4949.736587	1.656559	1.779664	-0.689635	0.816974	0.537969	-0.101017	-0.070239	-0.114027	0.122486
0.100945	-1687.198044	-1575.359713	3262.557757	111.838331	4949.755801	1.658224	1.783729	-0.611608	0.816829	0.537593	-0.091056	-0.071596	-0.116233	0.129836
0.100964	-1687.204908	-1575.365199	3262.570107	111.839709	4949.775016	1.659891	1.787796	-0.533492	0.816681	0.537211	-0.080546	-0.072955	-0.118439	0.136376
0.100982	-1687.211772	-1575.370686	3262.582458	111.841087	4949.794230	1.661561	1.791864	-0.455279	0.816532	0.536822	-0.069552	-0.074317	-0.120646	0.142063
0.101000	-1687.218637	-1575.376172	3262.594808	111.842465	4949.813445	1.663234	1.795934	-0.376964	0.816380	0.536427	-0.058143	-0.075680	-0.122853	0.146864
0.101018	-1687.225501	-1575.381657	3262.607159	111.843844	4949.832660	1.664910	1.800007	-0.298542	0.816226	0.536024	-0.046391	-0.077046	-0.125060	0.150748
0.101036	-1687.232366	-1575.387143	3262.619509	111.845223	4949.851875	1.666589	1.804082	-0.220008	0.816069	0.535615	-0.034369	-0.078414	-0.127268	0.153690
